timestamp,duration_ms,buffer_bytes,transcription_length,latency_ms,error
2025-04-16T15:13:57.757Z,1000,17760,2,677,
2025-04-16T15:14:00.072Z,1000,18560,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816440071-8636d56e-2bcc-4025-828d-3c99163f1f65.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816440071-8636d56e-2bcc-4025-828d-3c99163f1f65.sent.wav'"
2025-04-16T15:14:02.072Z,1000,16000,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816442071-530cbb71-d27c-46d4-a490-c19bd99cb065.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816442071-530cbb71-d27c-46d4-a490-c19bd99cb065.sent.wav'"
2025-04-16T15:14:05.076Z,1000,23840,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816445074-846ff2ab-bc13-42e7-b47e-799fc821dc45.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816445074-846ff2ab-bc13-42e7-b47e-799fc821dc45.sent.wav'"
2025-04-16T15:14:07.078Z,1000,16160,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816447076-46e2d350-71d0-4e57-aa3b-ef41206b168f.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816447076-46e2d350-71d0-4e57-aa3b-ef41206b168f.sent.wav'"
2025-04-16T15:14:09.079Z,1000,16000,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816449078-5c1e0519-08d6-49a2-9e0e-985ae9ce121b.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816449078-5c1e0519-08d6-49a2-9e0e-985ae9ce121b.sent.wav'"
2025-04-16T15:14:12.081Z,1000,19840,0,0,"ENOENT: no such file or directory, copyfile '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816452080-5fbf067f-0732-4ffd-ba37-fe0006ac2269.wav' -> '/Users/fvieiramachado/Twilio/Customers/Meli/media-streams/node/realtime-transcriptions/buffers/openai-audio-buffer-1744816452080-5fbf067f-0732-4ffd-ba37-fe0006ac2269.sent.wav'"
2025-04-16T15:14:49.329Z,1000,33760,53,877,
2025-04-16T15:14:50.106Z,1000,17600,0,3649,
2025-04-16T15:14:50.384Z,1000,25760,31,2933,
2025-04-16T15:14:53.044Z,1000,16640,7,589,
2025-04-16T15:14:56.649Z,1000,19200,27,1191,
2025-04-16T15:14:56.977Z,1000,27360,39,519,
2025-04-16T15:25:16.574Z,1000,17920,0,2066,
2025-04-16T15:25:17.383Z,1000,25760,0,1887,
2025-04-16T15:25:18.024Z,1000,33920,0,1527,
2025-04-16T15:25:21.313Z,1000,19840,0,814,
2025-04-16T15:25:25.351Z,1000,17440,0,1850,
2025-04-16T15:25:26.462Z,1000,25440,0,1958,
2025-04-16T15:25:30.365Z,1000,20000,0,858,
2025-04-16T15:25:31.404Z,1000,16480,0,2898,
2025-04-16T15:25:31.570Z,1000,20000,0,1623,
